Business Event,Regime,Regime Code,Account Code,Account Name,Semantic Classification,Recognition Rule,Measurement Rule,Posting Rule (Debit),Posting Rule (Credit),FS Classification,FS Line Item,Effective From,Effective To,Source Authority,Semantic Change Type,Notes
"Cash received (VND, on hand)",TT133-2016,TT133,111,Tiền mặt,Cash on hand - VND,Upon physical receipt,Historical cost (VND face value),111,,"Current Assets > Cash and Cash Equivalents","Tiền và tương đương tiền",2017-01-01,2025-12-31,"TT133/2016 Appendix 1, Crowe 2016",IDENTICAL,"TK 111 identical in both regimes"
"Cash received (VND, on hand)",TT99-2025,TT99,111,Tiền mặt,Cash on hand - VND,Upon physical receipt,Historical cost (VND face value),111,,"Current Assets > Cash and Cash Equivalents","Tiền và các khoản tương đương tiền",2026-01-01,NULL,"TT99/2025 Phụ lục II",IDENTICAL,"Same semantic as TT133"
"Cash deposited in bank (VND, non-term)",TT133-2016,TT133,112,Tiền gửi ngân hàng,Cash in bank - VND non-term,Upon bank confirmation,Historical cost (VND face value),112,,"Current Assets > Cash and Cash Equivalents","Tiền và tương đương tiền",2017-01-01,2025-12-31,"TT133/2016 Appendix 1",IDENTICAL,"TK 112 identical in both regimes"
"Cash deposited in bank (VND, non-term)",TT99-2025,TT99,112,Tiền gửi ngân hàng,Cash in bank - VND non-term,Upon bank confirmation,Historical cost (VND face value),112,,"Current Assets > Cash and Cash Equivalents","Tiền và các khoản tương đương tiền",2026-01-01,NULL,"TT99/2025 Phụ lục II",IDENTICAL,"Same semantic as TT133"
"Cash in transit (VND)",TT133-2016,TT133,113,Tiền đang chuyển,Cash in transit - VND,Upon dispatch instruction,Historical cost (VND face value),113,,"Current Assets > Cash and Cash Equivalents","Tiền và tương đương tiền",2017-01-01,2025-12-31,"TT133/2016 Appendix 1",IDENTICAL,"TK 113 identical in both regimes"
"Cash in transit (VND)",TT99-2025,TT99,113,Tiền đang chuyển,Cash in transit - VND,Upon dispatch instruction,Historical cost (VND face value),113,,"Current Assets > Cash and Cash Equivalents","Tiền và các khoản tương đương tiền",2026-01-01,NULL,"TT99/2025 Phụ lục II",IDENTICAL,"Same semantic as TT133"
"Employee advance recorded",TT133-2016,TT133,141,Tạm ứng,Advance to employees,Upon cash disbursement to employee,Historical cost (amount advanced),141,"111, 112","Current Assets > Short-term receivables","Các khoản phải thu ngắn hạn",2017-01-01,2025-12-31,"TT133/2016 Appendix 1",IDENTICAL,"Employee advances ONLY - NOT vendor prepayment"
"Employee advance recorded",TT99-2025,TT99,141,Tạm ứng,Advance to employees,Upon cash disbursement to employee,Historical cost (amount advanced),141,"111, 112","Current Assets > Short-term receivables","Phải thu ngắn hạn",2026-01-01,NULL,"TT99/2025 Phụ lục II",IDENTICAL,"Employee advances ONLY - NOT vendor prepayment"
"Employee advance cleared (expense incurred)",TT133-2016,TT133,141,Tạm ứng,Offset employee advance,Upon expense approval,Historical cost (amount cleared),"6xx (expense)",141,"N/A - P&L impact","Chi phí hoạt động",2017-01-01,2025-12-31,"TT133/2016 Appendix 1",IDENTICAL,"Clearing employee advance"
"Employee advance cleared (expense incurred)",TT99-2025,TT99,141,Tạm ứng,Offset employee advance,Upon expense approval,Historical cost (amount cleared),"6xx (expense)",141,"N/A - P&L impact","Chi phí",2026-01-01,NULL,"TT99/2025 Phụ lục II",IDENTICAL,"Clearing employee advance"
