route,file_path,current_owner,current_status,problem_type,evidence,severity,recommended_boundary_action,notes
"/api/rule-management/rules/[ruleId]","src\app\api\rule-management\rules\[ruleId]\route.ts","UNKNOWN","UNKNOWN","INSUFFICIENT_EVIDENCE","No product imports or service layer traced","Medium","Trace to Decision Engine vs cross-product rules; assign Platform or create Rules product","No product imports traced; could be Platform Decision Engine or cross-product"
"/api/rule-management/rules","src\app\api\rule-management\rules\route.ts","UNKNOWN","UNKNOWN","INSUFFICIENT_EVIDENCE","No product imports or service layer traced","Medium","Trace to Decision Engine vs cross-product rules; assign Platform or create Rules product","No product imports traced; could be Platform Decision Engine or cross-product"
"/api/rule-management/simulate","src\app\api\rule-management\simulate\route.ts","UNKNOWN","UNKNOWN","INSUFFICIENT_EVIDENCE","No product imports or service layer traced","Medium","Trace to Decision Engine vs cross-product rules; assign Platform or create Rules product","No product imports traced; could be Platform Decision Engine or cross-product"
"/api/rule-management/simulations","src\app\api\rule-management\simulations\route.ts","UNKNOWN","UNKNOWN","INSUFFICIENT_EVIDENCE","No product imports or service layer traced","Medium","Trace to Decision Engine vs cross-product rules; assign Platform or create Rules product","No product imports traced; could be Platform Decision Engine or cross-product"
"/api/rules/[ruleId]/rollback","src\app\api\rules\[ruleId]\rollback\route.ts","UNKNOWN","UNKNOWN","INSUFFICIENT_EVIDENCE","No product imports or service layer traced","Medium","Trace to Decision Engine vs cross-product rules; assign Platform or create Rules product","No product imports traced; could be Platform Decision Engine or cross-product"
"/api/rules/[ruleId]","src\app\api\rules\[ruleId]\route.ts","UNKNOWN","UNKNOWN","INSUFFICIENT_EVIDENCE","No product imports or service layer traced","Medium","Trace to Decision Engine vs cross-product rules; assign Platform or create Rules product","No product imports traced; could be Platform Decision Engine or cross-product"
"/api/rules/[ruleId]/test","src\app\api\rules\[ruleId]\test\route.ts","UNKNOWN","UNKNOWN","INSUFFICIENT_EVIDENCE","No product imports or service layer traced","Medium","Trace to Decision Engine vs cross-product rules; assign Platform or create Rules product","No product imports traced; could be Platform Decision Engine or cross-product"
"/api/rules/[ruleId]/versions","src\app\api\rules\[ruleId]\versions\route.ts","UNKNOWN","UNKNOWN","INSUFFICIENT_EVIDENCE","No product imports or service layer traced","Medium","Trace to Decision Engine vs cross-product rules; assign Platform or create Rules product","No product imports traced; could be Platform Decision Engine or cross-product"
"/api/rules/approvals","src\app\api\rules\approvals\route.ts","UNKNOWN","UNKNOWN","INSUFFICIENT_EVIDENCE","No product imports or service layer traced","Medium","Trace to Decision Engine vs cross-product rules; assign Platform or create Rules product","No product imports traced; could be Platform Decision Engine or cross-product"
"/api/rules","src\app\api\rules\route.ts","UNKNOWN","UNKNOWN","INSUFFICIENT_EVIDENCE","No product imports or service layer traced","Medium","Trace to Decision Engine vs cross-product rules; assign Platform or create Rules product","No product imports traced; could be Platform Decision Engine or cross-product"
"/beauty-spa (layout)","src\app\beauty-spa\layout.tsx","UNKNOWN","UNKNOWN","INSUFFICIENT_EVIDENCE","No product imports or service layer traced","Low","Trace imports to determine product vs platform marketing","No product imports traced; potential landing pages"
"/beauty-spa","src\app\beauty-spa\page.tsx","UNKNOWN","UNKNOWN","INSUFFICIENT_EVIDENCE","No product imports or service layer traced","Low","Trace imports to determine product vs platform marketing","No product imports traced; potential landing pages"
"/bella-auto/rollback-demo","src\app\bella-auto\rollback-demo\page.tsx","UNKNOWN","UNKNOWN","INSUFFICIENT_EVIDENCE","No product imports or service layer traced","Medium","Reconcile bella-auto vs automove naming; likely merge into AutoMove product","Conflicts with /automove; unclear relationship"
"/bellaspa","src\app\bellaspa\page.tsx","UNKNOWN","UNKNOWN","INSUFFICIENT_EVIDENCE","No product imports or service layer traced","Low","Trace imports to determine product vs platform marketing","No product imports traced; potential landing pages"
"/book","src\app\book\page.tsx","UNKNOWN","UNKNOWN","INSUFFICIENT_EVIDENCE","No product imports or service layer traced","Low","Trace imports to determine product vs platform marketing","No product imports traced; potential landing pages"
"/dashboard/accounting/chart-of-accounts","src\app\dashboard\accounting\chart-of-accounts\page.tsx","Platform Finance / Cross-Product","AMBIGUOUS","CONFLICTING_OWNERSHIP","No product-specific imports; shared finance services","Medium","Investigate actual usage patterns; assign single owner based on dominant context","Ambiguous: Platform Finance Core vs product-specific"
"/dashboard/accounting (error)","src\app\dashboard\accounting\error.tsx","Platform Finance / Cross-Product","AMBIGUOUS","CONFLICTING_OWNERSHIP","No product-specific imports; shared finance services","Medium","Investigate actual usage patterns; assign single owner based on dominant context","Ambiguous: Platform Finance Core vs product-specific"
"/dashboard/accounting/health","src\app\dashboard\accounting\health\page.tsx","Platform Finance / Cross-Product","AMBIGUOUS","CONFLICTING_OWNERSHIP","No product-specific imports; shared finance services","Medium","Investigate actual usage patterns; assign single owner based on dominant context","Ambiguous: Platform Finance Core vs product-specific"
"/dashboard/accounting/journals/[entryId]","src\app\dashboard\accounting\journals\[entryId]\page.tsx","Platform Finance / Cross-Product","AMBIGUOUS","CONFLICTING_OWNERSHIP","No product-specific imports; shared finance services","Medium","Investigate actual usage patterns; assign single owner based on dominant context","Ambiguous: Platform Finance Core vs product-specific"
"/dashboard/accounting/journals","src\app\dashboard\accounting\journals\page.tsx","Platform Finance / Cross-Product","AMBIGUOUS","CONFLICTING_OWNERSHIP","No product-specific imports; shared finance services","Medium","Investigate actual usage patterns; assign single owner based on dominant context","Ambiguous: Platform Finance Core vs product-specific"
"/dashboard/accounting (layout)","src\app\dashboard\accounting\layout.tsx","Platform Finance / Cross-Product","AMBIGUOUS","CONFLICTING_OWNERSHIP","No product-specific imports; shared finance services","Medium","Investigate actual usage patterns; assign single owner based on dominant context","Ambiguous: Platform Finance Core vs product-specific"
"/dashboard/accounting/manual-entry","src\app\dashboard\accounting\manual-entry\page.tsx","Platform Finance / Cross-Product","AMBIGUOUS","CONFLICTING_OWNERSHIP","No product-specific imports; shared finance services","Medium","Investigate actual usage patterns; assign single owner based on dominant context","Ambiguous: Platform Finance Core vs product-specific"
"/dashboard/accounting/outbox","src\app\dashboard\accounting\outbox\page.tsx","Platform Finance / Cross-Product","AMBIGUOUS","CONFLICTING_OWNERSHIP","No product-specific imports; shared finance services","Medium","Investigate actual usage patterns; assign single owner based on dominant context","Ambiguous: Platform Finance Core vs product-specific"
"/dashboard/accounting","src\app\dashboard\accounting\page.tsx","Platform Finance / Cross-Product","AMBIGUOUS","CONFLICTING_OWNERSHIP","No product-specific imports; shared finance services","Medium","Investigate actual usage patterns; assign single owner based on dominant context","Ambiguous: Platform Finance Core vs product-specific"
"/dashboard/accounting/periods","src\app\dashboard\accounting\periods\page.tsx","Platform Finance / Cross-Product","AMBIGUOUS","CONFLICTING_OWNERSHIP","No product-specific imports; shared finance services","Medium","Investigate actual usage patterns; assign single owner based on dominant context","Ambiguous: Platform Finance Core vs product-specific"
"/dashboard/accounting/readiness","src\app\dashboard\accounting\readiness\page.tsx","Platform Finance / Cross-Product","AMBIGUOUS","CONFLICTING_OWNERSHIP","No product-specific imports; shared finance services","Medium","Investigate actual usage patterns; assign single owner based on dominant context","Ambiguous: Platform Finance Core vs product-specific"
"/dashboard/accounting/reconciliation","src\app\dashboard\accounting\reconciliation\page.tsx","Platform Finance / Cross-Product","AMBIGUOUS","CONFLICTING_OWNERSHIP","No product-specific imports; shared finance services","Medium","Investigate actual usage patterns; assign single owner based on dominant context","Ambiguous: Platform Finance Core vs product-specific"
"/dashboard/accounting/reports","src\app\dashboard\accounting\reports\page.tsx","Platform Finance / Cross-Product","AMBIGUOUS","CONFLICTING_OWNERSHIP","No product-specific imports; shared finance services","Medium","Investigate actual usage patterns; assign single owner based on dominant context","Ambiguous: Platform Finance Core vs product-specific"
"/dashboard/accounting/salary-reconciliation","src\app\dashboard\accounting\salary-reconciliation\page.tsx","Platform Finance / Cross-Product","AMBIGUOUS","CONFLICTING_OWNERSHIP","No product-specific imports; shared finance services","Medium","Investigate actual usage patterns; assign single owner based on dominant context","Ambiguous: Platform Finance Core vs product-specific"
"/dashboard/bella-auto/experience","src\app\dashboard\bella-auto\experience\page.tsx","UNKNOWN","UNKNOWN","INSUFFICIENT_EVIDENCE","No product imports or service layer traced","Medium","Reconcile bella-auto vs automove naming; likely merge into AutoMove product","Conflicts with /automove; unclear relationship"
"/dashboard/bella-auto/journeys","src\app\dashboard\bella-auto\journeys\page.tsx","UNKNOWN","UNKNOWN","INSUFFICIENT_EVIDENCE","No product imports or service layer traced","Medium","Reconcile bella-auto vs automove naming; likely merge into AutoMove product","Conflicts with /automove; unclear relationship"
"/dashboard/bella-auto (layout)","src\app\dashboard\bella-auto\layout.tsx","UNKNOWN","UNKNOWN","INSUFFICIENT_EVIDENCE","No product imports or service layer traced","Medium","Reconcile bella-auto vs automove naming; likely merge into AutoMove product","Conflicts with /automove; unclear relationship"
"/dashboard/bella-auto/leads","src\app\dashboard\bella-auto\leads\page.tsx","UNKNOWN","UNKNOWN","INSUFFICIENT_EVIDENCE","No product imports or service layer traced","Medium","Reconcile bella-auto vs automove naming; likely merge into AutoMove product","Conflicts with /automove; unclear relationship"
"/dashboard/bella-auto","src\app\dashboard\bella-auto\page.tsx","UNKNOWN","UNKNOWN","INSUFFICIENT_EVIDENCE","No product imports or service layer traced","Medium","Reconcile bella-auto vs automove naming; likely merge into AutoMove product","Conflicts with /automove; unclear relationship"
"/dashboard/bella-auto/trade-in","src\app\dashboard\bella-auto\trade-in\page.tsx","UNKNOWN","UNKNOWN","INSUFFICIENT_EVIDENCE","No product imports or service layer traced","Medium","Reconcile bella-auto vs automove naming; likely merge into AutoMove product","Conflicts with /automove; unclear relationship"
"/dashboard/bella-auto/vehicles","src\app\dashboard\bella-auto\vehicles\page.tsx","UNKNOWN","UNKNOWN","INSUFFICIENT_EVIDENCE","No product imports or service layer traced","Medium","Reconcile bella-auto vs automove naming; likely merge into AutoMove product","Conflicts with /automove; unclear relationship"
"/dashboard/bella-auto/workshop","src\app\dashboard\bella-auto\workshop\page.tsx","UNKNOWN","UNKNOWN","INSUFFICIENT_EVIDENCE","No product imports or service layer traced","Medium","Reconcile bella-auto vs automove naming; likely merge into AutoMove product","Conflicts with /automove; unclear relationship"
"/dashboard/finance/budget","src\app\dashboard\finance\budget\page.tsx","Platform Finance / Cross-Product","AMBIGUOUS","CONFLICTING_OWNERSHIP","No product-specific imports; shared finance services","Medium","Investigate actual usage patterns; assign single owner based on dominant context","Ambiguous: Platform Finance Core vs product-specific"
"/dashboard/finance/budget/page.tsx.backup","src\app\dashboard\finance\budget\page.tsx.backup","Platform Finance / Cross-Product","AMBIGUOUS","CONFLICTING_OWNERSHIP","No product-specific imports; shared finance services","Medium","Investigate actual usage patterns; assign single owner based on dominant context","Ambiguous: Platform Finance Core vs product-specific"
"/dashboard/finance/cash-flow","src\app\dashboard\finance\cash-flow\page.tsx","Platform Finance / Cross-Product","AMBIGUOUS","CONFLICTING_OWNERSHIP","No product-specific imports; shared finance services","Medium","Investigate actual usage patterns; assign single owner based on dominant context","Ambiguous: Platform Finance Core vs product-specific"
