Semantic_ID,Business_Event,Accounting_Semantic,Semantic_Change_Type,Regime_Code,Regime_Version,Effective_From,Effective_To,Account_Code,Account_Lifecycle,Recognition_Trigger,Recognition_Timing,Measurement_Basis,Posting_Context,Posting_Rule_Debit,Posting_Rule_Credit,FS_Section,FS_Subsection,FS_Line_Item,Presentation_Rule,Source_Authority_Primary,Source_Location_Primary,Source_Authority_Secondary,Authority_Level,Confidence,Research_Status,Notes
SEM-001,Cash received (VND on hand),Cash on hand - VND currency,IDENTICAL,TT133-2016,1.0,2017-01-01,2025-12-31,111,ACTIVE,Physical receipt,"[AMBIGUOUS] Timing rule not verified from TT133",Historical cost (VND face value),Cash inflow from any source,111,"[CONTEXT] 131/511/711/etc",Current Assets,Cash and Cash Equivalents,Tiền và tương đương tiền,"[UNRESOLVED] Presentation rule for cash shortage/overage",TT133/2016,Phụ lục 1 - Hệ thống tài khoản,Crowe Vietnam 2016,PRIMARY,PROBABLE,NEEDS_VERIFICATION,"Account code verified. Recognition timing NOT verified from legal source. Do not confuse business-event modeling with legal recognition rule."
SEM-001,Cash received (VND on hand),Cash on hand - VND currency,IDENTICAL,TT99-2025,1.0,2026-01-01,NULL,111,ACTIVE,Physical receipt,"[AMBIGUOUS] Timing rule not verified from TT99",Historical cost (VND face value),Cash inflow from any source,111,"[CONTEXT] 131/511/711/etc",Current Assets,Cash and Cash Equivalents,Tiền và các khoản tương đương tiền,"[UNRESOLVED] Presentation rule for cash shortage/overage",TT99/2025,Phụ lục II - Hệ thống tài khoản,N/A,PRIMARY,PROBABLE,NEEDS_VERIFICATION,"Account code verified. Recognition timing NOT verified from legal source. FS line item label changed but semantic meaning appears identical."
SEM-002,Cash deposited (VND non-term),Cash in bank - VND non-term deposit,IDENTICAL,TT133-2016,1.0,2017-01-01,2025-12-31,112,ACTIVE,"[AMBIGUOUS] Bank confirmation or deposit instruction?","[AMBIGUOUS] Not verified from TT133",Historical cost (VND face value),Cash deposited to bank account,112,"[CONTEXT] 111/131/etc",Current Assets,Cash and Cash Equivalents,Tiền và tương đương tiền,"[UNRESOLVED] Treatment of uncleared deposits",TT133/2016,Phụ lục 1 - Hệ thống tài khoản,Crowe Vietnam 2016,PRIMARY,PROBABLE,NEEDS_VERIFICATION,"Account code verified. Recognition trigger AMBIGUOUS - need to verify from VAS or TT133 guidance."
SEM-002,Cash deposited (VND non-term),Cash in bank - VND non-term deposit,IDENTICAL,TT99-2025,1.0,2026-01-01,NULL,112,ACTIVE,"[AMBIGUOUS] Bank confirmation or deposit instruction?","[AMBIGUOUS] Not verified from TT99",Historical cost (VND face value),Cash deposited to bank account,112,"[CONTEXT] 111/131/etc",Current Assets,Cash and Cash Equivalents,Tiền và các khoản tương đương tiền,"[UNRESOLVED] Treatment of uncleared deposits",TT99/2025,Phụ lục II - Hệ thống tài khoản,N/A,PRIMARY,PROBABLE,NEEDS_VERIFICATION,"Account code verified. Recognition trigger AMBIGUOUS - need to verify from VAS or TT99 guidance."
SEM-003,Cash in transit,Cash in transit between locations/banks,IDENTICAL,TT133-2016,1.0,2017-01-01,2025-12-31,113,ACTIVE,Dispatch instruction issued,"[AMBIGUOUS] Not verified from TT133",Historical cost (VND face value),Cash moving between locations,113,"[CONTEXT] 111/112",Current Assets,Cash and Cash Equivalents,Tiền và tương đương tiền,"[UNRESOLVED] Reconciliation with bank confirmation",TT133/2016,Phụ lục 1 - Hệ thống tài khoản,N/A,PRIMARY,PROBABLE,NEEDS_VERIFICATION,"Account code verified. Recognition timing AMBIGUOUS - need legal source for dispatch vs arrival."
SEM-003,Cash in transit,Cash in transit between locations/banks,IDENTICAL,TT99-2025,1.0,2026-01-01,NULL,113,ACTIVE,Dispatch instruction issued,"[AMBIGUOUS] Not verified from TT99",Historical cost (VND face value),Cash moving between locations,113,"[CONTEXT] 111/112",Current Assets,Cash and Cash Equivalents,Tiền và các khoản tương đương tiền,"[UNRESOLVED] Reconciliation with bank confirmation",TT99/2025,Phụ lục II - Hệ thống tài khoản,N/A,PRIMARY,PROBABLE,NEEDS_VERIFICATION,"Account code verified. Recognition timing AMBIGUOUS - need legal source for dispatch vs arrival."
SEM-004,Employee advance recorded,Advance to employee for business expenses,IDENTICAL,TT133-2016,1.0,2017-01-01,2025-12-31,141,ACTIVE,Cash disbursement to employee,Upon cash payment,Historical cost (amount advanced),Employee advance recorded,141,111/112,Current Assets,Short-term Receivables,Các khoản phải thu ngắn hạn,"[UNRESOLVED] Treatment of long-overdue advances",TT133/2016,Phụ lục 1 - Hệ thống tài khoản,Frappe ERP discussion 2024,PRIMARY,CONFIRMED,VERIFIED,"Account code CONFIRMED. Semantic boundary: TK 141 = EMPLOYEE ONLY. NOT for vendor prepayment. Source: TT133 Phụ lục 1 + Frappe implementation pattern."
SEM-004,Employee advance recorded,Advance to employee for business expenses,IDENTICAL,TT99-2025,1.0,2026-01-01,NULL,141,ACTIVE,Cash disbursement to employee,Upon cash payment,Historical cost (amount advanced),Employee advance recorded,141,111/112,Current Assets,Short-term Receivables,Phải thu ngắn hạn,"[UNRESOLVED] Treatment of long-overdue advances",TT99/2025,Phụ lục II - Hệ thống tài khoản,Frappe ERP discussion 2024,PRIMARY,CONFIRMED,VERIFIED,"Account code CONFIRMED. Semantic boundary: TK 141 = EMPLOYEE ONLY. NOT for vendor prepayment. Source: TT99 Phụ lục II + F5.6 breakthrough."
SEM-005,Employee advance cleared,Offset employee advance against expense,IDENTICAL,TT133-2016,1.0,2017-01-01,2025-12-31,141,ACTIVE,Expense report approved,"[AMBIGUOUS] Approval timing not verified",Historical cost (amount cleared),Employee advance cleared,6xx (expense accounts),141,N/A - P&L,Expense,Chi phí hoạt động,"[UNRESOLVED] Treatment of uncleared advances at period-end",TT133/2016,Phụ lục 1 - Hệ thống tài khoản,N/A,PRIMARY,PROBABLE,NEEDS_VERIFICATION,"Clearing logic verified from practice. Legal timing rule AMBIGUOUS."
SEM-005,Employee advance cleared,Offset employee advance against expense,IDENTICAL,TT99-2025,1.0,2026-01-01,NULL,141,ACTIVE,Expense report approved,"[AMBIGUOUS] Approval timing not verified",Historical cost (amount cleared),Employee advance cleared,6xx (expense accounts),141,N/A - P&L,Expense,Chi phí,"[UNRESOLVED] Treatment of uncleared advances at period-end",TT99/2025,Phụ lục II - Hệ thống tài khoản,N/A,PRIMARY,PROBABLE,NEEDS_VERIFICATION,"Clearing logic verified from practice. Legal timing rule AMBIGUOUS."
