route,file_path,step3_problem,current_status,decision,final_owner,final_status,decision_evidence,decision_rationale
"/api/rule-management/rules/[ruleId]","src\app\api\rule-management\rules\[ruleId]\route.ts","INSUFFICIENT_EVIDENCE","UNKNOWN","KEEP_UNKNOWN","UNKNOWN","UNKNOWN","No decision-engine imports found. Imports: next/server; @/lib/supabase-client; @/types/rule-management.types; @/types/database.types; @/types/database.types","Insufficient evidence to assign owner; preserve UNKNOWN pending architecture clarification"
"/api/rule-management/rules","src\app\api\rule-management\rules\route.ts","INSUFFICIENT_EVIDENCE","UNKNOWN","KEEP_UNKNOWN","UNKNOWN","UNKNOWN","No decision-engine imports found. Imports: next/server; @/lib/supabase-client; @/types/rule-management.types; @/types/database.types","Insufficient evidence to assign owner; preserve UNKNOWN pending architecture clarification"
"/api/rule-management/simulate","src\app\api\rule-management\simulate\route.ts","INSUFFICIENT_EVIDENCE","UNKNOWN","KEEP_UNKNOWN","UNKNOWN","UNKNOWN","No decision-engine imports found. Imports: next/server; @/lib/supabase-client; @/types/rule-management.types; @/types/database.types","Insufficient evidence to assign owner; preserve UNKNOWN pending architecture clarification"
"/api/rule-management/simulations","src\app\api\rule-management\simulations\route.ts","INSUFFICIENT_EVIDENCE","UNKNOWN","KEEP_UNKNOWN","UNKNOWN","UNKNOWN","No decision-engine imports found. Imports: next/server; @/lib/supabase-client","Insufficient evidence to assign owner; preserve UNKNOWN pending architecture clarification"
"/api/rules/[ruleId]/rollback","src\app\api\rules\[ruleId]\rollback\route.ts","INSUFFICIENT_EVIDENCE","UNKNOWN","KEEP_UNKNOWN","UNKNOWN","UNKNOWN","No decision-engine imports found. Imports: next/server; @/lib/supabase-server","Insufficient evidence to assign owner; preserve UNKNOWN pending architecture clarification"
"/api/rules/[ruleId]","src\app\api\rules\[ruleId]\route.ts","INSUFFICIENT_EVIDENCE","UNKNOWN","KEEP_UNKNOWN","UNKNOWN","UNKNOWN","No decision-engine imports found. Imports: next/server; @/lib/supabase-server; @/types/database.types; @/types/database.types","Insufficient evidence to assign owner; preserve UNKNOWN pending architecture clarification"
"/api/rules/[ruleId]/test","src\app\api\rules\[ruleId]\test\route.ts","INSUFFICIENT_EVIDENCE","UNKNOWN","KEEP_UNKNOWN","UNKNOWN","UNKNOWN","No decision-engine imports found. Imports: next/server; @/lib/supabase-server; @/types/database.types","Insufficient evidence to assign owner; preserve UNKNOWN pending architecture clarification"
"/api/rules/[ruleId]/versions","src\app\api\rules\[ruleId]\versions\route.ts","INSUFFICIENT_EVIDENCE","UNKNOWN","KEEP_UNKNOWN","UNKNOWN","UNKNOWN","No decision-engine imports found. Imports: next/server; @/lib/supabase-server","Insufficient evidence to assign owner; preserve UNKNOWN pending architecture clarification"
"/api/rules/approvals","src\app\api\rules\approvals\route.ts","INSUFFICIENT_EVIDENCE","UNKNOWN","KEEP_UNKNOWN","UNKNOWN","UNKNOWN","No decision-engine imports found. Imports: next/server; @/lib/supabase-server","Insufficient evidence to assign owner; preserve UNKNOWN pending architecture clarification"
"/api/rules","src\app\api\rules\route.ts","INSUFFICIENT_EVIDENCE","UNKNOWN","KEEP_UNKNOWN","UNKNOWN","UNKNOWN","No decision-engine imports found. Imports: next/server; @/lib/supabase-server; @/types/database.types","Insufficient evidence to assign owner; preserve UNKNOWN pending architecture clarification"
"/beauty-spa (layout)","src\app\beauty-spa\layout.tsx","INSUFFICIENT_EVIDENCE","UNKNOWN","KEEP_UNKNOWN","UNKNOWN","UNKNOWN","No clear product imports. Imports: next","Insufficient evidence for ownership assignment"
"/beauty-spa","src\app\beauty-spa\page.tsx","INSUFFICIENT_EVIDENCE","UNKNOWN","KEEP_UNKNOWN","UNKNOWN","UNKNOWN","No clear product imports. Imports: react","Insufficient evidence for ownership assignment"
"/bella-auto/rollback-demo","src\app\bella-auto\rollback-demo\page.tsx","INSUFFICIENT_EVIDENCE","UNKNOWN","DEFER_WITH_REASON","UNKNOWN","UNKNOWN","Imports: react; @/components/bella-auto/rollback/TransactionHistoryViewer; @/components/bella-auto/rollback/RollbackConfirmationDialog; @/components/bella-auto/rollback/AuditTrailDashboard; @/hooks/bella-auto/useTransactions","bella-auto vs automove naming conflict unresolved; missing architecture decision on product consolidation"
