file_path,route_path,file_role,owner,owner_type,status,primary_evidence,secondary_evidence,confidence,notes
"src\app\(auth)\layout.tsx","/(auth) (layout)","layout","Identity/Auth","Platform","KNOWN","Authentication boundary","Route group: (auth)","High","Platform identity/authentication"
"src\app\(auth)\login\page.backup.tsx","/login/page.backup.tsx","page","Identity/Auth","Platform","KNOWN","Authentication boundary","Route group: (auth)","High","Platform identity/authentication"
"src\app\(auth)\login\page.tsx","/login","page","Identity/Auth","Platform","KNOWN","Authentication boundary","Route group: (auth)","High","Platform identity/authentication"
"src\app\(auth)\signup\page.tsx","/signup","page","Identity/Auth","Platform","KNOWN","Authentication boundary","Route group: (auth)","High","Platform identity/authentication"
"src\app\(authenticated)\dashboard\automove\appointments\page.tsx","/dashboard/automove/appointments","page","AutoMove","Product","KNOWN","Product boundary: @/products/bella-automove","Route group: (authenticated)/dashboard/automove","High","AutoMove product"
"src\app\(authenticated)\dashboard\automove\invoices\page.tsx","/dashboard/automove/invoices","page","AutoMove","Product","KNOWN","Product boundary: @/products/bella-automove","Route group: (authenticated)/dashboard/automove","High","AutoMove product"
"src\app\(authenticated)\dashboard\automove\page.tsx","/dashboard/automove","page","AutoMove","Product","KNOWN","Product boundary: @/products/bella-automove","Route group: (authenticated)/dashboard/automove","High","AutoMove product"
"src\app\(authenticated)\dashboard\automove\repair-orders\page.tsx","/dashboard/automove/repair-orders","page","AutoMove","Product","KNOWN","Product boundary: @/products/bella-automove","Route group: (authenticated)/dashboard/automove","High","AutoMove product"
"src\app\(authenticated)\dashboard\automove\vehicles\page.tsx","/dashboard/automove/vehicles","page","AutoMove","Product","KNOWN","Product boundary: @/products/bella-automove","Route group: (authenticated)/dashboard/automove","High","AutoMove product"
"src\app\(authenticated)\dashboard\preschool\attendance\page.tsx","/dashboard/preschool/attendance","page","Preschool","Product","KNOWN","Product boundary: @/products/bella-preschool","Route group: (authenticated)/preschool","High","Preschool product"
"src\app\(authenticated)\dashboard\preschool\classrooms\page.tsx","/dashboard/preschool/classrooms","page","Preschool","Product","KNOWN","Product boundary: @/products/bella-preschool","Route group: (authenticated)/preschool","High","Preschool product"
"src\app\(authenticated)\dashboard\preschool\page.tsx","/dashboard/preschool","page","Preschool","Product","KNOWN","Product boundary: @/products/bella-preschool","Route group: (authenticated)/preschool","High","Preschool product"
"src\app\(authenticated)\dashboard\preschool\students\page.tsx","/dashboard/preschool/students","page","Preschool","Product","KNOWN","Product boundary: @/products/bella-preschool","Route group: (authenticated)/preschool","High","Preschool product"
"src\app\(authenticated)\preschool\attendance\history\page.tsx","/preschool/attendance/history","page","Preschool","Product","KNOWN","Product boundary: @/products/bella-preschool","Route group: (authenticated)/preschool","High","Preschool product"
"src\app\(authenticated)\preschool\attendance\page.tsx","/preschool/attendance","page","Preschool","Product","KNOWN","Product boundary: @/products/bella-preschool","Route group: (authenticated)/preschool","High","Preschool product"
"src\app\(authenticated)\preschool\classrooms\[id]\edit\page.tsx","/preschool/classrooms/[id]/edit","page","Preschool","Product","KNOWN","Product boundary: @/products/bella-preschool","Route group: (authenticated)/preschool","High","Preschool product"
"src\app\(authenticated)\preschool\classrooms\[id]\page.tsx","/preschool/classrooms/[id]","page","Preschool","Product","KNOWN","Product boundary: @/products/bella-preschool","Route group: (authenticated)/preschool","High","Preschool product"
"src\app\(authenticated)\preschool\classrooms\new\page.tsx","/preschool/classrooms/new","page","Preschool","Product","KNOWN","Product boundary: @/products/bella-preschool","Route group: (authenticated)/preschool","High","Preschool product"
"src\app\(authenticated)\preschool\classrooms\page.tsx","/preschool/classrooms","page","Preschool","Product","KNOWN","Product boundary: @/products/bella-preschool","Route group: (authenticated)/preschool","High","Preschool product"
"src\app\(authenticated)\preschool\enrollments\[id]\page.tsx","/preschool/enrollments/[id]","page","Preschool","Product","KNOWN","Product boundary: @/products/bella-preschool","Route group: (authenticated)/preschool","High","Preschool product"
"src\app\(authenticated)\preschool\enrollments\new\page.tsx","/preschool/enrollments/new","page","Preschool","Product","KNOWN","Product boundary: @/products/bella-preschool","Route group: (authenticated)/preschool","High","Preschool product"
"src\app\(authenticated)\preschool\enrollments\page.tsx","/preschool/enrollments","page","Preschool","Product","KNOWN","Product boundary: @/products/bella-preschool","Route group: (authenticated)/preschool","High","Preschool product"
"src\app\(authenticated)\preschool\layout.tsx","/preschool (layout)","layout","Preschool","Product","KNOWN","Product boundary: @/products/bella-preschool","Route group: (authenticated)/preschool","High","Preschool product"
"src\app\(authenticated)\preschool\page.tsx","/preschool","page","Preschool","Product","KNOWN","Product boundary: @/products/bella-preschool","Route group: (authenticated)/preschool","High","Preschool product"
"src\app\(authenticated)\preschool\students\[id]\edit\page.tsx","/preschool/students/[id]/edit","page","Preschool","Product","KNOWN","Product boundary: @/products/bella-preschool","Route group: (authenticated)/preschool","High","Preschool product"
"src\app\(authenticated)\preschool\students\[id]\not-found.tsx","/preschool/students/[id] (not-found)","not-found","Preschool","Product","KNOWN","Product boundary: @/products/bella-preschool","Route group: (authenticated)/preschool","High","Preschool product"
"src\app\(authenticated)\preschool\students\[id]\page.tsx","/preschool/students/[id]","page","Preschool","Product","KNOWN","Product boundary: @/products/bella-preschool","Route group: (authenticated)/preschool","High","Preschool product"
"src\app\(authenticated)\preschool\students\new\page.tsx","/preschool/students/new","page","Preschool","Product","KNOWN","Product boundary: @/products/bella-preschool","Route group: (authenticated)/preschool","High","Preschool product"
"src\app\(authenticated)\preschool\students\page.tsx","/preschool/students","page","Preschool","Product","KNOWN","Product boundary: @/products/bella-preschool","Route group: (authenticated)/preschool","High","Preschool product"
"src\app\admin\partner-applications\[id]\page.tsx","/admin/partner-applications/[id]","page","Admin","Platform","KNOWN","Platform administration","Admin pages","High","Platform admin UI"
"src\app\admin\partner-applications\page.tsx","/admin/partner-applications","page","Admin","Platform","KNOWN","Platform administration","Admin pages","High","Platform admin UI"
"src\app\api\admin\accounting\process-outbox\route.ts","/api/admin/accounting/process-outbox","route","Admin","Platform","KNOWN","Service layer: @/services/api-gateway/*","Platform administration","High","Platform admin/partner management"
"src\app\api\admin\booking-engine\metrics\route.ts","/api/admin/booking-engine/metrics","route","Admin","Platform","KNOWN","Service layer: @/services/api-gateway/*","Platform administration","High","Platform admin/partner management"
"src\app\api\admin\partner-applications\[id]\approve\route.ts","/api/admin/partner-applications/[id]/approve","route","Admin","Platform","KNOWN","Service layer: @/services/api-gateway/*","Platform administration","High","Platform admin/partner management"
"src\app\api\admin\partner-applications\[id]\reject\route.ts","/api/admin/partner-applications/[id]/reject","route","Admin","Platform","KNOWN","Service layer: @/services/api-gateway/*","Platform administration","High","Platform admin/partner management"
"src\app\api\admin\partner-applications\[id]\request-info\route.ts","/api/admin/partner-applications/[id]/request-info","route","Admin","Platform","KNOWN","Service layer: @/services/api-gateway/*","Platform administration","High","Platform admin/partner management"
"src\app\api\admin\partner-applications\batch\route.ts","/api/admin/partner-applications/batch","route","Admin","Platform","KNOWN","Service layer: @/services/api-gateway/*","Platform administration","High","Platform admin/partner management"
"src\app\api\admin\partner-applications\route.ts","/api/admin/partner-applications","route","Admin","Platform","KNOWN","Service layer: @/services/api-gateway/*","Platform administration","High","Platform admin/partner management"
"src\app\api\admin\partners\[id]\activity\export\route.ts","/api/admin/partners/[id]/activity/export","route","Admin","Platform","KNOWN","Service layer: @/services/api-gateway/*","Platform administration","High","Platform admin/partner management"
"src\app\api\admin\partners\[id]\activity\route.ts","/api/admin/partners/[id]/activity","route","Admin","Platform","KNOWN","Service layer: @/services/api-gateway/*","Platform administration","High","Platform admin/partner management"
"src\app\api\admin\partners\[id]\key-lifecycle\route.ts","/api/admin/partners/[id]/key-lifecycle","route","Admin","Platform","KNOWN","Service layer: @/services/api-gateway/*","Platform administration","High","Platform admin/partner management"
"src\app\api\admin\partners\[id]\logs\route.ts","/api/admin/partners/[id]/logs","route","Admin","Platform","KNOWN","Service layer: @/services/api-gateway/*","Platform administration","High","Platform admin/partner management"
"src\app\api\admin\partners\[id]\regenerate-key\route.ts","/api/admin/partners/[id]/regenerate-key","route","Admin","Platform","KNOWN","Service layer: @/services/api-gateway/*","Platform administration","High","Platform admin/partner management"
"src\app\api\admin\partners\[id]\rotate-key-scheduled\route.ts","/api/admin/partners/[id]/rotate-key-scheduled","route","Admin","Platform","KNOWN","Service layer: @/services/api-gateway/*","Platform administration","High","Platform admin/partner management"
"src\app\api\admin\partners\[id]\rotation-policy\route.ts","/api/admin/partners/[id]/rotation-policy","route","Admin","Platform","KNOWN","Service layer: @/services/api-gateway/*","Platform administration","High","Platform admin/partner management"
"src\app\api\admin\partners\[id]\route.ts","/api/admin/partners/[id]","route","Admin","Platform","KNOWN","Service layer: @/services/api-gateway/*","Platform administration","High","Platform admin/partner management"
"src\app\api\admin\partners\[id]\scopes\route.ts","/api/admin/partners/[id]/scopes","route","Admin","Platform","KNOWN","Service layer: @/services/api-gateway/*","Platform administration","High","Platform admin/partner management"
"src\app\api\admin\partners\[id]\sla-alerts\route.ts","/api/admin/partners/[id]/sla-alerts","route","Admin","Platform","KNOWN","Service layer: @/services/api-gateway/*","Platform administration","High","Platform admin/partner management"
"src\app\api\admin\partners\[id]\sla-config\route.ts","/api/admin/partners/[id]/sla-config","route","Admin","Platform","KNOWN","Service layer: @/services/api-gateway/*","Platform administration","High","Platform admin/partner management"
"src\app\api\admin\partners\[id]\sla-metrics\route.ts","/api/admin/partners/[id]/sla-metrics","route","Admin","Platform","KNOWN","Service layer: @/services/api-gateway/*","Platform administration","High","Platform admin/partner management"
"src\app\api\admin\partners\[id]\test-webhook\route.ts","/api/admin/partners/[id]/test-webhook","route","Admin","Platform","KNOWN","Service layer: @/services/api-gateway/*","Platform administration","High","Platform admin/partner management"
"src\app\api\admin\partners\[id]\usage\route.ts","/api/admin/partners/[id]/usage","route","Admin","Platform","KNOWN","Service layer: @/services/api-gateway/*","Platform administration","High","Platform admin/partner management"
"src\app\api\admin\partners\[id]\webhook-logs\[logId]\retry\route.ts","/api/admin/partners/[id]/webhook-logs/[logId]/retry","route","Admin","Platform","KNOWN","Service layer: @/services/api-gateway/*","Platform administration","High","Platform admin/partner management"
"src\app\api\admin\partners\[id]\webhook-logs\batch-retry\route.ts","/api/admin/partners/[id]/webhook-logs/batch-retry","route","Admin","Platform","KNOWN","Service layer: @/services/api-gateway/*","Platform administration","High","Platform admin/partner management"
