component,current_path,layer,domain,owner,healthcare_specific,cross_industry_candidate,imports_healthcare,imports_platform_host,database_dependencies,event_dependencies,api_dependencies,risk,reuse_level,refactor_required,evidence,decision
Event Bus,src/platform/host/event-bus,Host Platform,Infrastructure,Host Platform,FALSE,TRUE,FALSE,FALSE,None,None,None,Low,High,None,"Generic event pub/sub with DomainEvent<T> interface. Zero healthcare terminology. Used by bed-engine and surgical-engine via eventBus.publish(). Memory adapter with Redis swap capability.",APPROVED - Cross-Industry
Capability Registry,src/platform/host/capability-registry,Host Platform,Infrastructure,Host Platform,FALSE,TRUE,FALSE,FALSE,None,None,Contract Registry,Low,High,None,"Generic capability catalog. Stores capability metadata + dependencies. No domain-specific logic. Evidence: capability-registry.ts has CapabilityImplementation interface with generic name/version/dependencies.",APPROVED - Cross-Industry
Contract Registry,src/platform/host/contract-registry,Host Platform,Infrastructure,Host Platform,FALSE,TRUE,FALSE,FALSE,None,None,None,Low,High,None,"API contract versioning + validation. Generic JSON Schema validator. No healthcare coupling. Used by healthcare engines to register contracts (bed-engine.contract.ts).",APPROVED - Cross-Industry
Feature Flags,src/platform/host/feature-flags,Host Platform,Infrastructure,Host Platform,FALSE,TRUE,FALSE,FALSE,feature_flags table,None,None,Low,High,None,"Progressive rollout platform. Generic tenant/user flag evaluation. Database: feature_flags table (no hc_ prefix). Used for healthcare.new-engine-architecture flag but engine itself is generic.",APPROVED - Cross-Industry
IAM,src/platform/host/iam,Host Platform,Security,Host Platform,FALSE,TRUE,FALSE,FALSE,None,None,None,Low,High,None,"Identity & Access Management. Generic RBAC/ABAC. No patient/doctor roles hardcoded. Evidence: No grep matches for healthcare terms.",APPROVED - Cross-Industry
Workflow Engine,src/platform/host/workflow,Host Platform,Orchestration,Host Platform,FALSE,TRUE,FALSE,TRUE,None,Event Bus,None,Low,High,None,"Generic BPMN/state machine engine. No clinical workflow hardcoded. Evidence: Zero healthcare imports in workflow/. Can orchestrate admission/discharge via configuration not code.",APPROVED - Cross-Industry
Policy Engine,src/platform/host/policy,Host Platform,Governance,Host Platform,FALSE,TRUE,FALSE,FALSE,None,None,None,Low,High,None,"Policy-as-code runtime. Generic rule evaluation. Evidence: No healthcare-specific policy examples found. Used by capability risk matrix (generic).",APPROVED - Cross-Industry
Rule Engine,src/platform/host/rule-engine,Host Platform,Business Rules,Host Platform,FALSE,TRUE,FALSE,FALSE,None,None,None,Low,High,None,"Decision table + expression engine. Generic rule evaluation. No clinical rules baked in. Evidence: rule-engine/ contains generic expression parser.",APPROVED - Cross-Industry
Notification Hub,src/platform/host/notification,Host Platform,Communication,Host Platform,FALSE,TRUE,FALSE,FALSE,None,None,None,Low,High,None,"Multi-channel notification (email/SMS/push). Generic recipient/template system. No patient communication logic hardcoded.",APPROVED - Cross-Industry
AI Runtime,src/platform/host/ai-runtime,Host Platform,AI Platform,Host Platform,FALSE,TRUE,FALSE,FALSE,None,None,None,Low,High,None,"LLM gateway + RAG orchestrator. Generic prompt management. No clinical AI prompts baked in. Evidence: ai-runtime/ has generic AiCompletionRequest interface.",APPROVED - Cross-Industry
Analytics Engine,src/platform/host/analytics-engine,Host Platform,Analytics,Host Platform,FALSE,TRUE,FALSE,FALSE,None,None,None,Low,High,None,"Generic BI query engine. No healthcare KPIs hardcoded. Evidence: analytics-engine/ has generic metric aggregation.",APPROVED - Cross-Industry
Temporal Engine,src/platform/host/temporal-engine,Host Platform,Scheduling,Host Platform,FALSE,TRUE,FALSE,FALSE,None,None,None,Low,High,None,"Time-based workflow scheduler. Generic cron/schedule DSL. No clinical scheduling logic.",APPROVED - Cross-Industry
Rollback Engine,src/platform/host/rollback-engine,Host Platform,Data Management,Host Platform,FALSE,TRUE,FALSE,FALSE,None,Event Bus,None,Low,High,None,"Event-sourced state rollback. Generic snapshot + replay. No encounter-specific rollback logic.",APPROVED - Cross-Industry
Integration Hub,src/platform/host/integration,Host Platform,Integration,Host Platform,FALSE,TRUE,FALSE,FALSE,None,None,None,Low,High,None,"API gateway + connector framework. Generic REST/GraphQL/SOAP adapters. HL7/FHIR support is plugin not core.",APPROVED - Cross-Industry
Metadata Engine,src/platform/host/metadata,Host Platform,Schema Registry,Host Platform,FALSE,TRUE,FALSE,FALSE,None,None,None,Low,High,None,"Data catalog + schema versioning. Generic entity metadata. No patient schema baked in.",APPROVED - Cross-Industry
MPI Engine,src/platform/healthcare/engines/mpi-engine,Healthcare Platform,Healthcare Kernel,Healthcare Platform,TRUE,FALSE,FALSE,FALSE,hc_master_patient_index,None,None,N/A,None,N/A,"Master Patient Index for identity resolution. Healthcare-specific: mrn_code + national_id + insurance_number. Database: hc_master_patient_index table. NOT cross-industry (Education has StudentID not MRN).",ISOLATED - Healthcare Only
Encounter Engine,src/platform/healthcare/engines/encounter-engine,Healthcare Platform,Healthcare Kernel,Healthcare Platform,TRUE,FALSE,FALSE,TRUE,hc_encounters,Event Bus,None,N/A,None,N/A,"Visit lifecycle management. Aggregate root for all clinical activities. Healthcare-specific state machine (registered → checked-in → in-treatment → checked-out). Education equivalent: Enrollment/Learning Journey (different lifecycle).",ISOLATED - Healthcare Only
Bed Engine,src/platform/healthcare/engines/bed-engine,Healthcare Platform,Healthcare Kernel,Healthcare Platform,TRUE,FALSE,FALSE,TRUE,hc_beds + hc_wards + hc_rooms,Event Bus,Bed Contract,N/A,None,N/A,"Bed allocation algorithm. Healthcare-specific: ward/room/bed hierarchy + isolation requirements. Publishes BedAllocated/BedReleased events. Education has no equivalent (uses Classroom/Seat resource engine).",ISOLATED - Healthcare Only
Clinical Engine,src/platform/healthcare/engines/clinical-engine,Healthcare Platform,Healthcare Kernel,Healthcare Platform,TRUE,FALSE,FALSE,FALSE,hc_clinical_notes,Event Bus,None,N/A,None,N/A,"SOAP notes + ICD-10 diagnosis + procedures. Pure healthcare domain. Evidence: clinical-engine/ contains SOAP templates + diagnosis codes.",ISOLATED - Healthcare Only
Nursing Engine,src/platform/healthcare/engines/nursing-engine,Healthcare Platform,Healthcare Kernel,Healthcare Platform,TRUE,FALSE,FALSE,TRUE,hc_nursing_vital_signs + hc_nursing_notes,Event Bus,Nursing Contract,N/A,None,N/A,"Vital signs + nursing documentation. Healthcare-specific: temperature/BP/SpO2/heart rate. Publishes VitalsRecorded events.",ISOLATED - Healthcare Only
Pharmacy Engine,src/platform/healthcare/engines/pharmacy-engine,Healthcare Platform,Healthcare Kernel,Healthcare Platform,TRUE,FALSE,FALSE,TRUE,hc_medication_orders + hc_mar_records,Event Bus,Pharmacy Contract,N/A,None,N/A,"MAR (Medication Administration Record) + DDI checking + formulary. Healthcare-specific: drug database + dosage + route + frequency.",ISOLATED - Healthcare Only
